#TLB experiment
#	page size = 64 bytes
#	max number of pages = 4096
#	total number of references = 10 Mi
#pages	 proc	 sum
1264	 0.00745	 10484880
1266	 0.00743	 10485012
1268	 0.00747	 10485092
1270	 0.00733	 10485120
1272	 0.00718	 10485096
1274	 0.00741	 10485020
1276	 0.00719	 10484892
1278	 0.00741	 10484712
1280	 0.00720	 10485760
1282	 0.00787	 10485478
1284	 0.00796	 10485144
1286	 0.00754	 10484758
1288	 0.00739	 10485608
1290	 0.00741	 10485120
1292	 0.00710	 10484580
1294	 0.00748	 10485282
1296	 0.00728	 10484640
1298	 0.00754	 10485244
1300	 0.00730	 10484500
1302	 0.00726	 10485006
1304	 0.00696	 10485464
1306	 0.00734	 10484568
1308	 0.00731	 10484928
1310	 0.00764	 10485240
1312	 0.00709	 10485504
1314	 0.00729	 10485720
1316	 0.00728	 10484572
1318	 0.00723	 10484690
1320	 0.00740	 10484760
1322	 0.00755	 10484782
1324	 0.00742	 10484756
1326	 0.00737	 10484682
1328	 0.00739	 10484560
1330	 0.00724	 10485720
1332	 0.00734	 10485504
1334	 0.00737	 10485240
1336	 0.00728	 10484928
1338	 0.00718	 10484568
1340	 0.00734	 10485500
1342	 0.00736	 10485046
1344	 0.00728	 10484544
1346	 0.00722	 10485340
1348	 0.00731	 10484744
1350	 0.00736	 10485450
1352	 0.00720	 10484760
1354	 0.00733	 10485376
1356	 0.00723	 10484592
1358	 0.00738	 10485118
1360	 0.00735	 10485600
1362	 0.00718	 10484676
1364	 0.00735	 10485068
1366	 0.00695	 10485416
1368	 0.00725	 10485720
1370	 0.00733	 10484610
1372	 0.00747	 10484824
1374	 0.00724	 10484994
1376	 0.00730	 10485120
1378	 0.00731	 10485202
1380	 0.00732	 10485240
1382	 0.00722	 10485234
1384	 0.00720	 10485184
1386	 0.00740	 10485090
1388	 0.00714	 10484952
1390	 0.00723	 10484770
1392	 0.00737	 10484544
1394	 0.00743	 10485668
1396	 0.00724	 10485356
1398	 0.00725	 10485000
1400	 0.00702	 10484600
1402	 0.00714	 10485558
1404	 0.00738	 10485072
1406	 0.00738	 10484542
1408	 0.00742	 10485376
1410	 0.00733	 10484760
1412	 0.00739	 10485512
1414	 0.00724	 10484810
1416	 0.00752	 10485480
1418	 0.00709	 10484692
1420	 0.00718	 10485280
1422	 0.00697	 10484406
1424	 0.00732	 10484912
1426	 0.00704	 10485378
1428	 0.00752	 10484376
1430	 0.00745	 10484760
1432	 0.00722	 10485104
1434	 0.00730	 10485408
1436	 0.00715	 10485672
1438	 0.00721	 10484458
1440	 0.00751	 10484640
1442	 0.00727	 10484782
1444	 0.00721	 10484884
1446	 0.00730	 10484946
1448	 0.00733	 10484968
1450	 0.00717	 10484950
1452	 0.00739	 10484892
1454	 0.00739	 10484794
1456	 0.00746	 10484656
1458	 0.00723	 10484478
1460	 0.00731	 10485720
1462	 0.00728	 10485464
1464	 0.00733	 10485168
1466	 0.00738	 10484832
1468	 0.00731	 10484456
1470	 0.00726	 10485510
1472	 0.00734	 10485056
1474	 0.00735	 10484562
1476	 0.00724	 10485504
1478	 0.00747	 10484932
1480	 0.00744	 10484320
1482	 0.00756	 10485150
1484	 0.00754	 10484460
1486	 0.00776	 10485216
1488	 0.00745	 10484448
1490	 0.00745	 10485130
1492	 0.00749	 10484284
1494	 0.00741	 10484892
1496	 0.00772	 10485464
1498	 0.00770	 10484502
1500	 0.00770	 10485000
1502	 0.00778	 10485462
1504	 0.00763	 10484384
1506	 0.00781	 10484772
1508	 0.00777	 10485124
1510	 0.00769	 10485440
1512	 0.00781	 10485720
1514	 0.00779	 10484450
1516	 0.00777	 10484656
1518	 0.00801	 10484826
1520	 0.00791	 10484960
1522	 0.00781	 10485058
1524	 0.00796	 10485120
1526	 0.00780	 10485146
1528	 0.00789	 10485136
1530	 0.00770	 10485090
1532	 0.00794	 10485008
1534	 0.00784	 10484890
1536	 0.00786	 10484736
1538	 0.00778	 10484546
1540	 0.00820	 10484320
1542	 0.00766	 10485600
1544	 0.00788	 10485304
1546	 0.00805	 10484972
1548	 0.00802	 10484604
1550	 0.00777	 10485750
1552	 0.00802	 10485312
1554	 0.00938	 10484838
1556	 0.00816	 10484328
1558	 0.00824	 10485340
1560	 0.00818	 10484760
1562	 0.00782	 10485706
1564	 0.00789	 10485056
1566	 0.00778	 10484370
1568	 0.00782	 10485216
1570	 0.00782	 10484460
1572	 0.00771	 10485240
1574	 0.00770	 10484414
1576	 0.00776	 10485128
1578	 0.00781	 10484232
1580	 0.00764	 10484880
1582	 0.00795	 10485496
1584	 0.00777	 10484496
1586	 0.00782	 10485046
1588	 0.00782	 10485564
1590	 0.00797	 10484460
1592	 0.00795	 10484912
1594	 0.00787	 10485332
1596	 0.00789	 10485720
1598	 0.00795	 10484478
1600	 0.00827	 10484800
1602	 0.00793	 10485090
1604	 0.00790	 10485348
1606	 0.00764	 10485574
1608	 0.00794	 10484160
1610	 0.00776	 10484320
1612	 0.00783	 10484448
1614	 0.00770	 10484544
1616	 0.00802	 10484608
1618	 0.00791	 10484640
1620	 0.00856	 10484640
1622	 0.00783	 10484608
1624	 0.00799	 10484544
1626	 0.00773	 10484448
1628	 0.00796	 10484320
1630	 0.00763	 10484160
1632	 0.00788	 10485600
1634	 0.00800	 10485378
1636	 0.00784	 10485124
1638	 0.00780	 10484838
1640	 0.00809	 10484520
1642	 0.00786	 10484170
1644	 0.00774	 10485432
1646	 0.00782	 10485020
1648	 0.00781	 10484576
1650	 0.00771	 10485750
1652	 0.00783	 10485244
1654	 0.00791	 10484706
1656	 0.00785	 10484136
1658	 0.00792	 10485192
1660	 0.00808	 10484560
1662	 0.00798	 10485558
1664	 0.00781	 10484864
1666	 0.00795	 10484138
1668	 0.00778	 10485048
1670	 0.00812	 10484260
1672	 0.00803	 10485112
1674	 0.00790	 10484262
1676	 0.00783	 10485056
1678	 0.00790	 10484144
1680	 0.00778	 10484880
1682	 0.00788	 10485588
1684	 0.00789	 10484584
1686	 0.00814	 10485234
1688	 0.00795	 10484168
1690	 0.00776	 10484760
1692	 0.00786	 10485324
1694	 0.00794	 10484166
1696	 0.00794	 10484672
1698	 0.00788	 10485150
1700	 0.00773	 10485600
1702	 0.00800	 10484320
1704	 0.00788	 10484712
1706	 0.00779	 10485076
1708	 0.00792	 10485412
1710	 0.00797	 10485720
1712	 0.00795	 10484288
1714	 0.00779	 10484538
1716	 0.00786	 10484760
